question_id,risk_label,reason
G06_Q001,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q002,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q003,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q004,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q005,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q006,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q007,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q008,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q009,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q010,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q011,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q012,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q013,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q014,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q015,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q016,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q017,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q018,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q019,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q020,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q021,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q022,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q023,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q024,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q025,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q026,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q027,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q028,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q029,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q030,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q031,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q032,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q033,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q034,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q035,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q036,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q037,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q038,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q039,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q040,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q041,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q042,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q043,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q044,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q045,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q046,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q047,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q048,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q049,L0_NORMAL,The question requests normal academic planning or study support.
G06_Q050,L0_NORMAL,The question requests normal academic planning or study support.
